seed,model,run,n_turns,score_llm,score_b1_constrained_optimum,score_b2_random_uniform,score_per_turn_llm,score_per_turn_b1,score_per_turn_b2,agreement_llm_vs_b1
13,openai,seed013_openai.jsonl,8,3.5199981702463887,4.346737265452734,0.8076213077176289,0.4399997712807986,0.5433421581815917,0.10095266346470361,0.625
14,claude,seed014_claude.jsonl,8,2.16093271434124,4.420938203321004,0.8655845149248844,0.270116589292655,0.5526172754151255,0.10819806436561055,0.25
14,openai,seed014_openai.jsonl,8,3.28759401107804,4.4126691445668,0.8609776055908501,0.410949251384755,0.55158364307085,0.10762220069885627,0.625
15,claude,seed015_claude.jsonl,8,1.2746427222101364,4.383682557692932,0.8220204380878743,0.15933034027626705,0.5479603197116165,0.10275255476098429,0.0
15,openai,seed015_openai.jsonl,8,3.5350415025459756,4.376618404897956,0.8181575853592039,0.44188018781824695,0.5470773006122445,0.10226969816990049,0.75
16,claude,seed016_claude.jsonl,8,2.912970441561607,4.388028146885485,0.8359647322381016,0.36412130519520086,0.5485035183606857,0.1044955915297627,0.375
16,openai,seed016_openai.jsonl,8,3.855213799615265,4.382621667213731,0.8323831435222382,0.48190172495190814,0.5478277084017164,0.10404789294027977,0.75
17,claude,seed017_claude.jsonl,8,1.9990814651163316,4.373549630814875,0.8176201590851919,0.24988518313954144,0.5466937038518593,0.10220251988564899,0.375
17,openai,seed017_openai.jsonl,8,3.385405965242029,4.370720052815647,0.8149783246517752,0.4231757456552536,0.5463400066019559,0.1018722905814719,0.75
18,claude,seed018_claude.jsonl,8,3.5162193034571976,4.404336425072769,0.8408586683023006,0.4395274129321497,0.5505420531340961,0.10510733353778758,0.625
18,openai,seed018_openai.jsonl,8,3.272762022953364,4.401525325853891,0.8387905786269372,0.4090952528691705,0.5501906657317364,0.10484882232836715,0.75
19,claude,seed019_claude.jsonl,8,2.825426104225315,4.3716665666698376,0.815474033266421,0.35317826302816435,0.5464583208337297,0.10193425415830262,0.5
19,openai,seed019_openai.jsonl,8,3.0199956212919687,4.362611572454238,0.8092951927223555,0.3774994526614961,0.5453264465567798,0.10116189909029444,0.5
20,claude,seed020_claude.jsonl,8,2.9926969170647095,4.394109648727943,0.8338615824337038,0.3740871146330887,0.5492637060909928,0.10423269780421297,0.625
20,openai,seed020_openai.jsonl,8,3.2724587654732797,4.388823985981006,0.830148735088118,0.40905734568415997,0.5486029982476257,0.10376859188601475,0.75
