model,seed,tau,cosine_v1,n_inconsistent_v1,n_turnos,flag_v1
openai,14,0.4,0.8159195284003671,0,8,0
openai,14,0.5,0.8159195284003671,0,8,0
openai,14,0.6,0.8159195284003671,1,8,0
openai,14,0.7,0.8159195284003671,2,8,0
claude,15,0.3,0.08798137691868996,8,8,1
claude,15,0.4,0.08798137691868996,8,8,1
claude,15,0.5,0.08798137691868996,8,8,1
claude,15,0.6,0.08798137691868996,8,8,1
claude,15,0.7,0.08798137691868996,8,8,1
openai,15,0.3,0.8449584623378821,0,8,0
openai,15,0.4,0.8449584623378821,0,8,0
openai,15,0.5,0.8449584623378821,0,8,0
openai,15,0.6,0.8449584623378821,0,8,0
openai,15,0.7,0.8449584623378821,2,8,0
claude,16,0.3,0.7121764496807147,0,8,0
claude,16,0.4,0.7121764496807147,0,8,0
claude,16,0.5,0.7121764496807147,1,8,0
claude,16,0.6,0.7121764496807147,2,8,0
claude,16,0.7,0.7121764496807147,6,8,0
openai,16,0.3,0.8501705276247661,0,8,0
openai,16,0.4,0.8501705276247661,0,8,0
openai,16,0.5,0.8501705276247661,0,8,0
openai,16,0.6,0.8501705276247661,2,8,0
openai,16,0.7,0.8501705276247661,3,8,0
claude,17,0.3,0.16195385253332156,6,8,1
claude,17,0.4,0.16195385253332156,8,8,1
claude,17,0.5,0.16195385253332156,8,8,1
claude,17,0.6,0.16195385253332156,8,8,1
claude,17,0.7,0.16195385253332156,8,8,1
openai,17,0.3,0.6992337651600199,0,8,0
openai,17,0.4,0.6992337651600199,1,8,0
openai,17,0.5,0.6992337651600199,2,8,0
openai,17,0.6,0.6992337651600199,3,8,0
openai,17,0.7,0.6992337651600199,4,8,1
claude,18,0.3,0.7128409111622834,0,8,0
claude,18,0.4,0.7128409111622834,0,8,0
claude,18,0.5,0.7128409111622834,0,8,0
claude,18,0.6,0.7128409111622834,1,8,0
claude,18,0.7,0.7128409111622834,5,8,0
openai,18,0.3,0.7420845123146456,0,8,0
openai,18,0.4,0.7420845123146456,0,8,0
openai,18,0.5,0.7420845123146456,0,8,0
openai,18,0.6,0.7420845123146456,2,8,0
openai,18,0.7,0.7420845123146456,5,8,0
claude,19,0.3,0.5062595138791981,1,8,0
claude,19,0.4,0.5062595138791981,3,8,0
claude,19,0.5,0.5062595138791981,4,8,0
claude,19,0.6,0.5062595138791981,6,8,1
claude,19,0.7,0.5062595138791981,8,8,1
openai,19,0.3,0.9312838372903838,0,8,0
openai,19,0.4,0.9312838372903838,0,8,0
openai,19,0.5,0.9312838372903838,0,8,0
openai,19,0.6,0.9312838372903838,0,8,0
openai,19,0.7,0.9312838372903838,0,8,0
claude,20,0.3,0.5257638475271322,1,8,0
claude,20,0.4,0.5257638475271322,2,8,0
claude,20,0.5,0.5257638475271322,3,8,0
claude,20,0.6,0.5257638475271322,4,8,1
claude,20,0.7,0.5257638475271322,8,8,1
openai,20,0.3,0.667248843380313,0,8,0
openai,20,0.4,0.667248843380313,0,8,0
openai,20,0.5,0.667248843380313,2,8,0
openai,20,0.6,0.667248843380313,3,8,0
openai,20,0.7,0.667248843380313,6,8,1
